frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
114,3806.9,15,13,884,,,,,,,12,941,584,,,,,,,15,1006,660,,,,,,,14,765,868,,,,,,
115,3842.9,15,13,884,,,,,,,12,941,583,,,,,,,15,1006,660,,,,,,,14,765,868,,,,,,
116,3875.0,15,13,884,,,,,,,12,940,584,,,,,,,15,1005,660,,,,,,,15,765,868,,,,,,
117,3907.3,15,13,884,,,,,,,12,940,583,,,,,,,15,1005,659,,,,,,,15,765,868,,,,,,
118,3942.7,15,13,884,,,,,,,12,941,582,,,,,,,15,1005,659,,,,,,,14,765,868,,,,,,
119,3977.6,15,13,884,,,,,,,12,940,582,,,,,,,15,1005,658,,,,,,,14,765,868,,,,,,
120,4010.8,15,13,884,,,,,,,12,940,582,,,,,,,15,1005,659,,,,,,,14,765,868,,,,,,
121,4042.9,15,13,884,,,,,,,12,940,582,,,,,,,15,1005,659,,,,,,,14,765,868,,,,,,
122,4074.8,15,13,884,,,,,,,12,940,581,,,,,,,15,1005,658,,,,,,,14,765,868,,,,,,
123,4107.5,15,13,884,,,,,,,12,940,581,,,,,,,15,1005,658,,,,,,,15,766,868,,,,,,
124,4142.7,15,13,884,,,,,,,12,939,580,,,,,,,15,1005,657,,,,,,,14,765,868,,,,,,
125,4174.7,15,13,884,,,,,,,12,940,580,,,,,,,15,1004,656,,,,,,,15,765,868,,,,,,
126,4207.0,15,13,884,,,,,,,12,939,579,,,,,,,15,1005,656,,,,,,,14,765,868,,,,,,
127,4243.0,15,13,884,,,,,,,12,939,578,,,,,,,15,1004,655,,,,,,,14,765,868,,,,,,
128,4274.6,15,12,884,,,,,,,12,939,578,,,,,,,15,1003,656,,,,,,,14,765,868,,,,,,
129,4306.9,15,13,884,,,,,,,12,938,577,,,,,,,15,1003,654,,,,,,,15,765,868,,,,,,
130,4342.7,15,13,884,,,,,,,13,939,576,,,,,,,15,1003,653,,,,,,,14,766,868,,,,,,
131,4374.6,15,13,884,,,,,,,12,938,576,,,,,,,15,1003,653,,,,,,,14,765,868,,,,,,
132,4406.9,15,12,884,,,,,,,12,938,575,,,,,,,15,1003,652,,,,,,,15,765,868,,,,,,
133,4442.6,15,13,884,,,,,,,13,938,575,,,,,,,15,1003,650,,,,,,,14,765,868,,,,,,
134,4475.4,15,13,884,,,,,,,12,938,573,,,,,,,15,1003,650,,,,,,,14,765,868,,,,,,
135,4507.3,15,13,883,,,,,,,12,937,572,,,,,,,15,1002,649,,,,,,,14,765,868,,,,,,
136,4543.6,15,12,884,,,,,,,12,937,571,,,,,,,15,1002,647,,,,,,,14,765,868,,,,,,
137,4574.9,15,13,884,,,,,,,13,936,570,,,,,,,15,1002,646,,,,,,,14,765,868,,,,,,
138,4606.9,15,13,884,,,,,,,12,936,569,,,,,,,15,1002,644,,,,,,,14,765,868,,,,,,
139,4642.9,15,13,884,,,,,,,13,935,568,,,,,,,15,1001,643,,,,,,,14,765,868,,,,,,
140,4675.1,15,12,884,,,,,,,12,935,566,,,,,,,15,1000,641,,,,,,,14,765,868,,,,,,
141,4707.3,15,13,884,,,,,,,12,934,564,,,,,,,15,1000,638,,,,,,,15,765,868,,,,,,
142,4743.3,15,13,883,,,,,,,12,934,563,,,,,,,15,999,637,,,,,,,14,765,868,,,,,,
143,4774.9,15,13,884,,,,,,,13,933,561,,,,,,,15,999,636,,,,,,,14,765,868,,,,,,
