frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
140,4675.3,15,65,881,,,,,,,14,970,456,,,,,,,14,1010,525,,,,,,,14,813,866,,,,,,
141,4707.1,15,65,881,,,,,,,14,969,453,,,,,,,14,1009,522,,,,,,,14,813,866,,,,,,
142,4743.5,15,65,880,,,,,,,14,967,450,,,,,,,14,1007,519,,,,,,,14,813,866,,,,,,
143,4775.9,15,65,880,,,,,,,14,966,446,,,,,,,14,1006,514,,,,,,,14,813,866,,,,,,
144,4807.7,15,66,881,,,,,,,14,964,442,,,,,,,14,1004,510,,,,,,,14,813,866,,,,,,
145,4842.9,15,65,880,,,,,,,13,962,439,,,,,,,14,1003,507,,,,,,,14,813,866,,,,,,
146,4875.3,15,65,880,,,,,,,14,960,435,,,,,,,14,1001,502,,,,,,,14,813,866,,,,,,
147,4907.1,15,65,880,,,,,,,14,958,431,,,,,,,14,999,498,,,,,,,15,813,866,,,,,,
148,4943.2,15,65,881,,,,,,,14,956,427,,,,,,,14,997,495,,,,,,,14,813,866,,,,,,
149,4975.1,15,65,881,,,,,,,13,954,423,,,,,,,14,996,490,,,,,,,14,813,866,,,,,,
150,5007.8,15,65,880,,,,,,,14,952,419,,,,,,,14,994,486,,,,,,,15,813,866,,,,,,
151,5043.9,15,65,880,,,,,,,14,949,416,,,,,,,14,991,482,,,,,,,14,813,866,,,,,,
152,5075.2,15,65,880,,,,,,,14,948,412,,,,,,,14,990,477,,,,,,,14,813,866,,,,,,
153,5107.7,15,65,880,,,,,,,14,946,408,,,,,,,14,988,474,,,,,,,14,813,866,,,,,,
154,5143.3,15,65,880,,,,,,,14,944,405,,,,,,,14,986,471,,,,,,,15,813,866,,,,,,
155,5175.7,15,65,880,,,,,,,13,942,402,,,,,,,14,984,467,,,,,,,15,813,866,,,,,,
156,5211.6,15,65,881,,,,,,,14,940,399,,,,,,,14,983,463,,,,,,,14,813,866,,,,,,
157,5243.1,15,66,881,,,,,,,13,938,395,,,,,,,14,981,459,,,,,,,14,813,866,,,,,,
158,5275.2,15,65,880,,,,,,,13,936,391,,,,,,,14,979,456,,,,,,,14,813,866,,,,,,
159,5307.3,15,65,881,,,,,,,13,933,387,,,,,,,14,977,451,,,,,,,14,813,866,,,,,,
160,5345.1,15,65,881,,,,,,,14,931,384,,,,,,,14,975,446,,,,,,,14,813,866,,,,,,
161,5375.0,15,65,880,,,,,,,13,929,380,,,,,,,14,973,443,,,,,,,15,813,866,,,,,,
162,5407.2,15,65,880,,,,,,,13,927,376,,,,,,,14,971,439,,,,,,,14,813,866,,,,,,
163,5443.1,15,65,880,,,,,,,13,925,373,,,,,,,15,969,435,,,,,,,14,813,866,,,,,,
164,5475.8,15,65,880,,,,,,,13,923,370,,,,,,,14,967,432,,,,,,,15,813,866,,,,,,
165,5507.5,15,65,880,,,,,,,13,921,366,,,,,,,14,965,428,,,,,,,15,813,866,,,,,,
166,5543.3,15,65,881,,,,,,,14,918,363,,,,,,,15,963,424,,,,,,,14,813,866,,,,,,
167,5575.2,15,65,881,,,,,,,14,916,359,,,,,,,14,961,421,,,,,,,14,813,866,,,,,,
168,5607.5,15,65,881,,,,,,,14,914,355,,,,,,,14,959,417,,,,,,,14,813,866,,,,,,
169,5643.1,15,65,880,,,,,,,13,912,352,,,,,,,15,957,413,,,,,,,14,813,866,,,,,,
170,5675.1,15,65,880,,,,,,,13,909,349,,,,,,,14,954,410,,,,,,,14,813,866,,,,,,
171,5707.3,15,65,880,,,,,,,13,907,345,,,,,,,14,953,405,,,,,,,15,813,866,,,,,,
172,5743.1,15,65,880,,,,,,,13,905,342,,,,,,,14,952,403,,,,,,,15,813,866,,,,,,
173,5775.4,15,65,880,,,,,,,13,904,340,,,,,,,14,949,400,,,,,,,14,813,866,,,,,,
174,5807.5,15,65,880,,,,,,,13,902,338,,,,,,,14,948,398,,,,,,,14,813,866,,,,,,
175,5843.9,15,65,880,,,,,,,13,900,335,,,,,,,14,947,394,,,,,,,14,813,866,,,,,,
176,5875.2,15,65,881,,,,,,,13,899,333,,,,,,,15,945,392,,,,,,,14,813,866,,,,,,
177,5907.5,15,65,881,,,,,,,13,897,331,,,,,,,14,943,390,,,,,,,14,813,866,,,,,,
178,5943.0,15,65,881,,,,,,,13,895,328,,,,,,,14,942,387,,,,,,,15,813,866,,,,,,
179,5975.7,15,65,880,,,,,,,13,893,325,,,,,,,14,941,384,,,,,,,15,813,866,,,,,,
180,6007.3,15,65,881,,,,,,,13,891,322,,,,,,,14,939,381,,,,,,,15,813,866,,,,,,
181,6043.7,15,65,880,,,,,,,13,889,319,,,,,,,14,936,378,,,,,,,14,813,866,,,,,,
182,6075.5,15,65,880,,,,,,,13,887,316,,,,,,,14,934,373,,,,,,,15,813,866,,,,,,
183,6107.3,15,65,880,,,,,,,13,885,313,,,,,,,14,932,371,,,,,,,15,813,866,,,,,,
184,6143.7,15,65,881,,,,,,,13,882,310,,,,,,,14,930,367,,,,,,,15,813,866,,,,,,
185,6175.1,15,65,881,,,,,,,13,880,307,,,,,,,14,928,363,,,,,,,14,813,866,,,,,,
186,6207.3,15,65,881,,,,,,,13,878,303,,,,,,,14,925,360,,,,,,,14,813,866,,,,,,
187,6243.7,15,65,881,,,,,,,13,876,301,,,,,,,14,923,357,,,,,,,14,813,866,,,,,,
188,6276.1,15,65,881,,,,,,,13,873,297,,,,,,,15,922,353,,,,,,,15,813,866,,,,,,
189,6307.4,15,65,881,,,,,,,13,871,295,,,,,,,14,919,351,,,,,,,15,813,866,,,,,,
190,6343.1,15,65,881,,,,,,,13,869,291,,,,,,,14,917,347,,,,,,,14,813,866,,,,,,
191,6375.1,15,65,880,,,,,,,13,867,289,,,,,,,14,916,344,,,,,,,15,813,866,,,,,,
192,6407.7,15,65,881,,,,,,,13,865,287,,,,,,,14,913,341,,,,,,,15,813,866,,,,,,
193,6443.0,15,65,881,,,,,,,13,863,284,,,,,,,14,912,339,,,,,,,14,813,866,,,,,,
194,6483.7,15,65,881,,,,,,,13,861,281,,,,,,,14,910,335,,,,,,,14,813,866,,,,,,
195,6508.5,15,65,881,,,,,,,13,859,279,,,,,,,14,907,333,,,,,,,15,813,866,,,,,,
196,6543.3,15,65,881,,,,,,,13,856,275,,,,,,,14,905,329,,,,,,,15,813,866,,,,,,
197,6575.6,15,65,881,,,,,,,13,854,273,,,,,,,14,904,327,,,,,,,14,813,866,,,,,,
198,6607.9,15,65,881,,,,,,,13,852,270,,,,,,,14,901,324,,,,,,,14,813,866,,,,,,
199,6643.5,15,65,881,,,,,,,13,850,267,,,,,,,14,899,320,,,,,,,15,813,866,,,,,,
200,6675.5,15,65,881,,,,,,,13,847,264,,,,,,,14,898,317,,,,,,,15,813,866,,,,,,
201,6708.4,15,65,881,,,,,,,13,845,262,,,,,,,14,895,315,,,,,,,14,813,866,,,,,,
202,6743.8,15,65,881,,,,,,,13,843,259,,,,,,,14,893,312,,,,,,,14,813,866,,,,,,
203,6775.4,15,65,881,,,,,,,13,841,257,,,,,,,14,892,310,,,,,,,14,813,866,,,,,,
204,6807.3,15,65,881,,,,,,,13,839,254,,,,,,,14,889,307,,,,,,,15,813,866,,,,,,
205,6843.1,15,65,881,,,,,,,13,837,252,,,,,,,14,888,304,,,,,,,15,813,866,,,,,,
206,6875.5,15,65,881,,,,,,,13,835,250,,,,,,,14,886,301,,,,,,,14,813,866,,,,,,
207,6907.8,15,65,881,,,,,,,13,834,248,,,,,,,14,884,300,,,,,,,14,813,866,,,,,,
208,6943.1,15,65,881,,,,,,,13,832,246,,,,,,,14,882,297,,,,,,,15,813,866,,,,,,
209,6975.7,15,65,881,,,,,,,13,830,244,,,,,,,14,881,295,,,,,,,15,813,866,,,,,,
210,7007.3,15,65,881,,,,,,,13,829,243,,,,,,,14,880,293,,,,,,,14,813,866,,,,,,
211,7043.5,15,65,881,,,,,,,13,825,244,,,,,,,14,879,293,,,,,,,15,813,866,,,,,,
212,7075.9,15,65,881,,,,,,,13,819,246,,,,,,,14,877,290,,,,,,,14,813,866,,,,,,
213,7107.5,15,65,881,,,,,,,13,812,249,,,,,,,14,876,289,,,,,,,14,813,866,,,,,,
214,7143.8,15,66,881,,,,,,,13,802,254,,,,,,,14,876,287,,,,,,,14,814,866,,,,,,
215,7175.4,15,65,881,,,,,,,13,790,260,,,,,,,14,875,286,,,,,,,15,813,866,,,,,,
216,7207.3,15,65,881,,,,,,,13,776,268,,,,,,,14,873,284,,,,,,,15,813,866,,,,,,
217,7243.1,15,65,881,,,,,,,13,760,277,,,,,,,14,871,282,,,,,,,15,813,866,,,,,,
218,7276.1,15,65,881,,,,,,,13,742,290,,,,,,,14,871,281,,,,,,,15,813,866,,,,,,
219,7307.5,15,65,881,,,,,,,13,723,304,,,,,,,14,871,281,,,,,,,14,813,866,,,,,,
220,7343.1,15,65,881,,,,,,,13,702,321,,,,,,,14,871,282,,,,,,,14,813,866,,,,,,
221,7375.9,15,65,881,,,,,,,13,680,338,,,,,,,14,871,282,,,,,,,14,813,866,,,,,,
222,7413.4,15,65,881,,,,,,,13,656,356,,,,,,,14,871,283,,,,,,,14,813,866,,,,,,
223,7443.0,15,65,881,,,,,,,13,630,375,,,,,,,14,872,283,,,,,,,14,813,866,,,,,,
